Distance_mm,Intensity
556,226
571,229
634,230
634,233
618,233
587,230
587,228
618,218
337,197
330,211
618,211
587,218
556,221
525,228
525,232
509,233
509,235
509,231
509,235
509,231
509,234
501,234
497,234
495,232
490,221
509,215
501,224
497,232
495,235
494,234
493,231
493,233
493,235
493,231
493,233
493,234
509,225
525,224
525,222
525,223
525,221
540,222
540,219
540,216
61,211
76,212
540,223
540,226
447,232
439,233
435,235
433,233
432,237
432,232
432,231
634,226
681,228
681,214
494,220
486,214
681,225
712,216
509,220
509,214
61,211
76,210
650,218
106,215
121,216
665,219
634,222
634,218
587,216
76,216
572,217
121,215
603,216
91,214
572,216
572,224
556,228
556,229
556,231
556,231
556,236
556,235
556,235
556,231
461,225
297,229
290,240
287,239
278,239
274,237
279,237
274,237
572,223
402,225
395,227
398,215
478,211
486,213
490,214
492,215
485,217
489,219
483,223
480,220
417,226
439,230
458,226
445,225
438,227
449,225
463,226
470,222
482,212
509,126
727,210
603,210
556,210
556,210
540,214
540,216
540,214
525,197
525,211
525,211
525,210
509,211
509,211
509,213
1569,212
1553,222
1522,222
1522,227
1553,226
91,100
83,77
5855,145
5996,106
6183,93
6385,212
6354,212
5185,216
5060,210
4780,212
5216,216
5263,200
7336,155
7274,168
7180,210
5434,174
5388,221
5341,220
6245,151
4593,220
4577,220
4562,218
106,64
3611,87
76,64
68,51
3361,58
76,58
3081,90
3019,155
2832,93
2255,225
2239,218
712,230
712,232
712,234
712,233
712,234
727,233
727,234
743,227
759,223
774,224
1507,229
1491,229
1429,216
1304,227
1304,221
1429,232
1413,229
1398,230
1382,231
1382,218
1366,218
1351,233
1226,224
1226,235
1211,234
1211,233
1211,235
1195,234
1195,235
1195,231
1226,219
373,229
373,233
373,236
388,217
388,226
388,227
395,229
399,230
401,226
402,227
402,225
402,224
402,225
402,227
402,226
453,222
457,225
459,223
468,221
473,222
475,222
484,221
489,216
509,96
509,211
509,217
525,214
650,232
634,235
603,230
587,229
603,227
618,214
324,197
324,197
587,211
587,221
587,226
572,226
525,232
509,230
509,232
509,231
509,233
509,234
509,231
501,234
497,233
495,234
494,234
494,236
501,225
497,232
495,233
494,232
494,232
494,232
494,233
494,231
494,231
494,233
486,232
490,230
525,222
525,221
525,223
525,222
525,223
541,218
46,211
61,212
541,222
541,226
556,224
572,221
433,235
432,234
432,234
432,233
432,233
650,226
681,231
712,215
478,220
478,215
151,216
151,220
525,220
509,216
91,211
83,210
650,219
106,216
98,217
634,217
634,221
650,220
634,220
618,222
106,215
106,216
174,216
257,216
587,217
572,220
556,226
556,232
556,230
556,234
556,233
556,230
556,235
556,232
447,224
297,224
290,241
287,239
278,239
274,237
272,239
278,239
281,240
282,241
388,231
395,216
494,213
494,213
494,213
486,215
490,218
484,218
481,219
479,221
478,223
478,223
446,228
439,227
435,227
456,225
467,228
472,222
475,212
484,135
618,210
603,148
447,213
454,215
556,214
541,215
556,214
525,210
525,210
525,211
525,211
509,210
509,210
509,212
509,211
501,210
1522,222
1522,226
1554,221
31,71
5777,87
5871,161
6011,129
6152,126
6385,215
6339,211
6120,214
6074,216
3607,135
44116,18
28885,20
36826,20
39038,28
23175,28
15297,28
11176,21
64724,20
56799,20
26072,24
18091,24
6884,145
6822,158
6775,177
4780,213
4749,220
4718,220
4702,218
4671,218
4640,218
4609,218
4593,219
4577,219
2395,213
2395,213
2380,211
2208,220
2613,222
2551,224
2489,224
2411,226
2333,224
2286,225
2255,224
728,227
1725,225
1694,226
1663,228
1647,225
1616,227
1600,228
1569,226
1554,228
1538,228
1522,228
1491,229
1491,220
1304,229
1289,234
1289,236
1273,229
977,220
977,222
1273,220
1242,230
1258,224
977,218
1226,232
1211,235
373,233
373,234
373,233
373,232
373,233
380,233
384,233
386,227
387,214
387,210
387,223
387,228
416,226
416,225
424,225
428,225
430,227
431,228
439,226
443,223
445,223
446,224
453,222
457,221
362,200
367,174
370,164
379,158
556,106
587,214
572,223
572,226
587,229
650,231
634,233
618,232
572,216
572,211
311,211
311,155
304,177
307,187
556,211
541,223
525,227
509,232
509,235
509,233
486,235
490,234
492,235
493,234
493,235
485,234
481,231
487,226
509,216
501,220
497,232
495,234
493,231
493,233
493,232
493,232
509,233
509,235
509,231
509,226
509,224
525,226
525,224
525,221
572,225
587,223
587,226
603,224
587,216
447,219
447,222
447,230
439,234
435,232
426,238
429,236
35101,0
35048,0
35052,0
33004,0
34020,0
34527,0
34781,0
47323,2
47324,2
64988,1
3546,2
64987,1
61,211
76,213
665,217
106,217
106,215
634,221
634,218
634,218
618,220
618,221
634,219
634,217
257,216
189,216
572,221
572,225
556,227
556,231
556,230
556,232
556,232
525,232
525,229
509,230
509,224
297,234
290,239
280,239
275,240
272,238
271,239
277,238
287,238
285,237
297,218
556,232
462,214
478,213
486,213
482,216
488,217
483,220
480,219
479,220
478,225
478,224
478,224
478,227
445,227
461,230
469,228
481,220
487,211
759,119
618,200
572,135
461,214
461,217
461,211
477,113
556,210
509,210
525,206
525,211
509,211
525,210
509,210
509,212
509,213
501,211
509,212
501,212
1553,214
46,74
5808,164
5964,103
76,87
6245,109
6370,217
6183,214
6120,214
6042,215
5980,214
5434,193
3609,34
43093,28
31111,28
15284,28
7089,28
7070,21
60633,20
56797,20
21973,24
9925,24
18130,24
58471,26
6806,210
4764,219
4733,219
4717,221
4686,221
4655,220
4639,217
4608,218
4593,219
4561,219
4546,210
91,58
2224,197
2224,217
2598,224
2520,224
2457,225
2395,226
2333,225
2270,226
2239,223
727,229
712,231
712,233
1662,227
1631,225
1616,227
1600,227
1569,228
1553,227
1522,228
1507,228
1491,228
1335,218
1304,224
1304,225
1288,235
1288,228
977,221
961,222
1257,221
1242,231
1257,222
1226,224
1226,232
1210,234
1210,235
1195,234
373,234
373,235
380,232
384,232
386,232
387,227
402,212
402,213
395,226
391,227
389,228
395,228
424,226
428,225
430,227
431,226
438,224
442,224
444,226
452,222
456,222
458,221
459,221
468,221
353,148
363,177
540,126
587,215
587,223
571,227
587,230
649,233
649,233
618,232
587,229
587,227
310,210
296,161
289,210
293,206
556,211
540,220
525,230
525,232
525,232
509,234
509,232
509,233
493,237
493,236
493,236
493,234
493,235
493,224
509,216
501,223
497,230
495,233
486,234
489,230
497,234
495,231
509,232
509,234
509,230
525,224
509,225
525,224
525,226
525,223
525,223
540,221
587,224
587,226
603,218
446,220
439,224
442,229
437,234
434,234
433,234
432,233
432,234
432,231
132,231
134,225
127,226
124,223
122,219
696,219
696,220
509,221
525,220
509,211
106,211
649,215
257,218
243,219
250,219
253,216
243,217
250,217
243,217
159,216
187,216
146,214
111,218
177,217
509,228
525,227
525,230
540,235
556,238
556,239
556,238
556,237
556,236
493,224
525,217
283,235
402,228
395,232
391,227
389,232
403,230
417,219
409,220
398,227
400,224
423,211
493,213
493,214
5420,14
15267,211
58881,208
59393,199
57857,95
58369,106
57857,126
58113,190
57857,197
58369,186
58113,173
58625,181
467,225
472,216
475,180
790,203
618,210
461,158
461,215
461,214
469,168
540,100
556,214
571,214
509,210
525,211
525,210
509,210
509,211
509,211
509,211
509,211
501,211
497,211
495,215
509,197
5839,132
6027,96
6104,126
6385,210
6369,212
6151,214
6089,215
6011,216
5980,212
5434,213
5060,211
5403,210
7164,171
7164,184
5387,220
5356,221
5356,142
6229,193
6182,180
6214,64
6837,161
6821,210
6775,168
4764,220
106,54
128,61
3065,87
3050,164
2847,100
2738,103
2504,210
2395,210
2395,214
2379,212
2224,212
2644,214
712,233
727,232
743,227
758,223
774,225
805,216
1756,225
1725,225
1709,226
1678,227
1647,226
1631,228
1397,230
1382,232
1382,220
1366,217
1351,233
1335,234
1320,235
1320,235
1304,228
1288,236
1288,235
1273,226
1195,233
1242,216
373,229
373,233
373,236
373,236
373,238
373,235
373,235
373,233
373,231
373,235
401,227
401,226
401,224
409,226
413,227
415,225
416,227
416,225
416,227
424,224
428,227
430,226
488,215
509,126
509,206
509,218
509,214
373,168
373,174
373,210
362,206
367,206
370,158
360,161
317,210
603,213
587,219
571,227
571,228
571,231
556,230
556,227
556,221
556,212
556,210
297,177
497,233
495,231
494,234
494,235
494,234
494,235
494,233
494,233
486,237
490,235
492,237
485,234
492,230
493,231
493,233
493,233
493,234
493,232
493,230
493,234
509,233
501,235
497,234
495,233
76,210
540,224
525,227
556,226
572,220
46,221
556,220
572,224
587,223
587,222
587,225
587,224
696,213
509,223
493,215
136,218
136,220
143,217
139,219
145,229
140,236
130,234
125,230
123,227
650,219
634,221
634,218
634,219
618,223
618,219
618,220
618,219
618,219
603,216
603,216
618,217
556,230
556,232
556,231
556,234
540,233
556,231
525,229
509,228
509,231
509,233
525,228
556,227
273,241
271,237
270,240
276,238
279,240
288,230
540,223
540,234
556,238
556,231
388,230
388,230
4652,14
14502,236
55553,229
56065,225
56321,223
56577,222
57601,222
57089,222
57345,222
57345,222
58625,222
58369,222
457,224
351,229
362,227
417,226
439,229
458,228
445,226
438,228
458,226
468,228
473,223
475,212
556,222
556,219
556,211
556,145
540,203
556,215
540,216
540,214
525,211
525,210
525,212
509,193
571,215
556,211
6089,177
1553,211
1553,222
1522,222
1522,226
1553,227
106,77
98,103
5824,161
6011,113
5419,219
5169,214
5107,218
5185,217
4998,210
4780,213
5216,215
5263,210
7320,145
7305,155
7164,197
7195,116
4671,220
4655,218
4624,218
4608,219
4577,219
4561,218
31,74
31,77
76,58
76,80
83,64
64,54
2442,225
2380,227
2317,225
2270,227
2239,219
712,229
712,232
712,233
712,230
712,232
712,234
727,232
1569,228
1538,227
1522,229
1507,231
1491,229
1444,218
1304,228
1304,219
1429,232
1413,229
1398,229
1382,231
1242,228
1242,229
1257,220
1226,227
1226,233
1211,234
1211,236
1195,236
1195,236
1195,236
1195,232
1242,218
384,229
386,223
401,151
394,217
391,225
389,228
395,229
398,228
400,227
401,227
401,227
401,226
46975,1
48096,1
48610,1
50654,1
51680,1
52190,1
54494,1
55774,1
56284,1
58589,1
59869,1
7385,1
509,212
509,218
525,212
373,164
373,187
373,193
362,197
367,193
370,148
371,148
556,174
603,218
587,223
587,227
572,229
572,229
556,228
556,225
556,218
572,212
337,190
324,161
317,161
307,168
501,233
497,234
495,231
494,236
494,234
494,234
494,236
494,234
494,233
494,235
494,236
486,233
489,232
491,232
492,234
493,230
493,230
493,232
493,232
493,232
493,233
509,232
509,233
509,233
556,226
556,221
572,218
587,221
572,221
572,220
587,223
587,223
587,223
572,221
447,221
447,223
176,213
163,219
157,220
146,216
148,223
142,231
139,237
137,233
129,226
125,225
130,223
133,220
634,219
618,222
618,223
618,219
603,218
603,217
618,216
618,216
603,218
603,216
603,216
618,215
541,232
556,232
556,232
541,231
525,226
509,229
509,228
509,228
556,229
541,227
541,234
541,237
277,240
280,239
288,237
509,219
556,228
556,238
541,238
403,221
395,233
384,229
386,231
387,233
478,221
478,221
478,223
478,224
478,224
478,226
478,227
478,229
469,230
473,228
373,224
362,230
478,180
469,212
465,217
463,200
121,109
556,213
556,212
743,214
759,212
556,222
572,220
556,214
509,210
509,210
509,211
501,210
509,212
501,213
509,210
541,193
556,214
572,222
572,210
6105,96
6183,214
6105,216
6042,216
5980,214
5450,211
5435,148
5076,200
5372,211
5201,180
5403,214
5185,200
5154,218
6229,197
6183,210
6167,119
6868,168
6853,180
6791,151
4780,217
4749,220
4718,219
4686,219
4655,218
4624,218
2738,161
2504,197
2411,210
2395,215
2395,213
2380,210
2224,217
2613,224
2535,225
2473,224
2395,224
2348,225
790,221
1772,222
1741,225
1725,225
1694,227
1663,226
1647,226
1616,226
1600,227
1569,225
1553,226
1538,230
1351,234
1335,234
1320,233
1304,228
1304,234
1289,236
1289,229
977,222
961,222
1273,220
1242,234
1242,228
374,236
373,236
373,237
373,236
373,235
373,234
373,233
373,234
380,233
376,232
382,226
385,218
411,227
414,227
415,225
416,228
416,227
424,225
428,225
430,226
431,227
439,227
443,224
445,224
493,210
373,200
373,187
373,200
373,190
362,177
367,158
370,148
587,211
603,218
572,226
572,232
572,227
572,228
556,226
556,223
556,214
310,211
556,193
297,171
297,180
556,190
556,215
525,225
489,231
483,237
488,234
483,233
488,235
491,236
492,233
493,236
493,233
493,234
493,231
493,219
493,231
493,232
493,233
493,229
509,232
501,232
497,234
495,233
509,233
509,232
509,227
509,223
572,219
587,221
572,222
572,222
587,222
572,222
587,222
603,219
432,220
439,223
443,229
445,232
151,222
143,218
139,222
137,230
136,237
128,235
124,229
130,226
125,226
130,218
125,216
696,223
618,222
618,222
603,216
618,215
243,217
618,215
243,217
618,215
189,215
216,218
226,216
233,217
556,231
525,234
525,227
509,229
509,229
509,230
525,228
525,228
525,233
556,238
556,237
556,235
289,240
299,221
556,229
556,236
556,238
556,222
388,229
388,229
380,232
384,233
400,226
540,224
480,223
479,225
478,225
478,227
478,229
478,228
469,228
465,229
441,223
351,228
362,223
432,228
461,215
461,210
469,119
525,206
556,213
696,214
587,214
556,220
556,219
572,215
572,129
556,151
501,211
497,213
509,213
501,214
497,210
525,190
572,214
572,221
572,211
587,90
6354,215
1553,219
6042,216
5980,214
5465,210
5060,177
5434,168
5372,211
5403,174
5419,216
5169,212
5123,218
5169,217
4967,212
32725,20
43221,28
27018,28
64680,27
60865,27
2964,21
56796,20
56797,20
18094,24
9866,24
51410,87
17739,26
4546,218
31,48
3595,90
46,58
3470,67
3377,80
3252,42
3050,113
3018,119
2878,77
2504,109
2488,210
2488,226
2426,226
2379,224
2317,226
2255,225
727,218
25320,83
23621,84
6188,14
25396,200
58882,200
59650,200
1725,224
1694,226
1678,226
1647,226
1631,226
1616,226
1585,228
1553,229
1538,228
1522,227
1507,229
1491,231
1304,235
1304,228
1288,235
1288,234
1273,219
961,222
977,219
1242,228
1242,228
961,220
1226,227
1226,235
371,236
372,235
372,235
372,234
380,234
384,233
386,233
387,229
387,223
409,148
398,216
393,223
416,227
416,226
416,226
423,227
427,225
429,225
430,224
438,224
442,225
444,224
445,223
453,224
361,200
367,210
370,210
353,158
363,158
540,171
602,216
587,222
571,227
587,228
665,230
633,234
556,223
556,218
587,210
556,177
310,190
303,161
306,206
540,213
524,222
524,231
524,230
509,235
493,236
493,234
493,236
493,234
493,236
485,234
489,235
491,235
492,226
509,215
509,222
501,233
492,234
509,232
501,235
497,234
495,233
509,234
509,232
509,229
524,225
509,226
509,223
509,223
587,219
587,222
587,221
587,223
587,223
446,216
438,221
434,225
432,231
431,233
431,233
431,234
142,225
139,233
137,236
136,231
128,226
124,224
130,221
133,218
711,220
696,223
524,218
509,219
633,218
618,215
633,215
243,215
243,216
246,216
244,217
243,218
243,216
216,218
226,216
166,215
509,230
509,228
509,229
524,229
524,227
524,231
540,236
556,239
556,238
556,235
556,236
556,233
556,236
556,238
556,226
387,231
387,228
380,232
383,230
400,229
556,222
387,224
387,229
394,216
478,226
478,229
478,229
478,230
469,230
450,224
350,230
361,227
431,229
446,229
453,228
442,228
540,145
556,214
587,213
587,212
556,216
556,223
556,218
556,174
571,168
556,211
540,214
556,215
497,213
495,214
540,193
571,210
571,221
571,213
571,135
6354,211
1553,214
1537,221
1522,222
1522,226
5403,212
5075,212
5372,213
5216,203
5434,212
5418,215
5153,216
5107,218
5200,214
5107,187
4779,213
